Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.2263,Sun Apr 08 21:45:29 +0000 2018,0.788,0.084,0.128,1
-0.3071,Sun Apr 08 21:31:01 +0000 2018,0.736,0.198,0.065,2
0.0,Sun Apr 08 21:25:37 +0000 2018,1.0,0.0,0.0,3
0.0,Sun Apr 08 21:05:57 +0000 2018,1.0,0.0,0.0,4
0.4939,Sun Apr 08 20:45:36 +0000 2018,0.856,0.0,0.144,5
0.0,Sun Apr 08 20:25:01 +0000 2018,1.0,0.0,0.0,6
0.3182,Sun Apr 08 20:08:02 +0000 2018,0.585,0.14,0.275,7
-0.836,Sun Apr 08 19:45:01 +0000 2018,0.473,0.527,0.0,8
0.0,Sun Apr 08 19:25:02 +0000 2018,1.0,0.0,0.0,9
0.2023,Sun Apr 08 19:05:01 +0000 2018,0.87,0.0,0.13,10
-0.836,Sun Apr 08 18:45:37 +0000 2018,0.628,0.372,0.0,11
0.0,Sun Apr 08 18:25:01 +0000 2018,1.0,0.0,0.0,12
-0.7096,Sun Apr 08 18:05:01 +0000 2018,0.688,0.312,0.0,13
0.0,Sun Apr 08 17:45:01 +0000 2018,1.0,0.0,0.0,14
-0.6124,Sun Apr 08 17:25:01 +0000 2018,0.706,0.294,0.0,15
-0.2263,Sun Apr 08 17:05:01 +0000 2018,0.769,0.138,0.092,16
-0.3182,Sun Apr 08 16:45:39 +0000 2018,0.887,0.113,0.0,17
0.0,Sun Apr 08 16:25:04 +0000 2018,1.0,0.0,0.0,18
0.0,Sun Apr 08 16:05:38 +0000 2018,1.0,0.0,0.0,19
0.4404,Sun Apr 08 15:45:01 +0000 2018,0.868,0.0,0.132,20
0.2263,Sun Apr 08 21:45:29 +0000 2018,0.788,0.084,0.128,21
-0.3071,Sun Apr 08 21:31:01 +0000 2018,0.736,0.198,0.065,22
0.0,Sun Apr 08 21:25:37 +0000 2018,1.0,0.0,0.0,23
0.0,Sun Apr 08 21:05:57 +0000 2018,1.0,0.0,0.0,24
0.4939,Sun Apr 08 20:45:36 +0000 2018,0.856,0.0,0.144,25
0.0,Sun Apr 08 20:25:01 +0000 2018,1.0,0.0,0.0,26
0.3182,Sun Apr 08 20:08:02 +0000 2018,0.585,0.14,0.275,27
-0.836,Sun Apr 08 19:45:01 +0000 2018,0.473,0.527,0.0,28
0.0,Sun Apr 08 19:25:02 +0000 2018,1.0,0.0,0.0,29
0.2023,Sun Apr 08 19:05:01 +0000 2018,0.87,0.0,0.13,30
-0.836,Sun Apr 08 18:45:37 +0000 2018,0.628,0.372,0.0,31
0.0,Sun Apr 08 18:25:01 +0000 2018,1.0,0.0,0.0,32
-0.7096,Sun Apr 08 18:05:01 +0000 2018,0.688,0.312,0.0,33
0.0,Sun Apr 08 17:45:01 +0000 2018,1.0,0.0,0.0,34
-0.6124,Sun Apr 08 17:25:01 +0000 2018,0.706,0.294,0.0,35
-0.2263,Sun Apr 08 17:05:01 +0000 2018,0.769,0.138,0.092,36
-0.3182,Sun Apr 08 16:45:39 +0000 2018,0.887,0.113,0.0,37
0.0,Sun Apr 08 16:25:04 +0000 2018,1.0,0.0,0.0,38
0.0,Sun Apr 08 16:05:38 +0000 2018,1.0,0.0,0.0,39
0.4404,Sun Apr 08 15:45:01 +0000 2018,0.868,0.0,0.132,40
0.2263,Sun Apr 08 21:45:29 +0000 2018,0.788,0.084,0.128,41
-0.3071,Sun Apr 08 21:31:01 +0000 2018,0.736,0.198,0.065,42
0.0,Sun Apr 08 21:25:37 +0000 2018,1.0,0.0,0.0,43
0.0,Sun Apr 08 21:05:57 +0000 2018,1.0,0.0,0.0,44
0.4939,Sun Apr 08 20:45:36 +0000 2018,0.856,0.0,0.144,45
0.0,Sun Apr 08 20:25:01 +0000 2018,1.0,0.0,0.0,46
0.3182,Sun Apr 08 20:08:02 +0000 2018,0.585,0.14,0.275,47
-0.836,Sun Apr 08 19:45:01 +0000 2018,0.473,0.527,0.0,48
0.0,Sun Apr 08 19:25:02 +0000 2018,1.0,0.0,0.0,49
0.2023,Sun Apr 08 19:05:01 +0000 2018,0.87,0.0,0.13,50
-0.836,Sun Apr 08 18:45:37 +0000 2018,0.628,0.372,0.0,51
0.0,Sun Apr 08 18:25:01 +0000 2018,1.0,0.0,0.0,52
-0.7096,Sun Apr 08 18:05:01 +0000 2018,0.688,0.312,0.0,53
0.0,Sun Apr 08 17:45:01 +0000 2018,1.0,0.0,0.0,54
-0.6124,Sun Apr 08 17:25:01 +0000 2018,0.706,0.294,0.0,55
-0.2263,Sun Apr 08 17:05:01 +0000 2018,0.769,0.138,0.092,56
-0.3182,Sun Apr 08 16:45:39 +0000 2018,0.887,0.113,0.0,57
0.0,Sun Apr 08 16:25:04 +0000 2018,1.0,0.0,0.0,58
0.0,Sun Apr 08 16:05:38 +0000 2018,1.0,0.0,0.0,59
0.4404,Sun Apr 08 15:45:01 +0000 2018,0.868,0.0,0.132,60
0.2263,Sun Apr 08 21:45:29 +0000 2018,0.788,0.084,0.128,61
-0.3071,Sun Apr 08 21:31:01 +0000 2018,0.736,0.198,0.065,62
0.0,Sun Apr 08 21:25:37 +0000 2018,1.0,0.0,0.0,63
0.0,Sun Apr 08 21:05:57 +0000 2018,1.0,0.0,0.0,64
0.4939,Sun Apr 08 20:45:36 +0000 2018,0.856,0.0,0.144,65
0.0,Sun Apr 08 20:25:01 +0000 2018,1.0,0.0,0.0,66
0.3182,Sun Apr 08 20:08:02 +0000 2018,0.585,0.14,0.275,67
-0.836,Sun Apr 08 19:45:01 +0000 2018,0.473,0.527,0.0,68
0.0,Sun Apr 08 19:25:02 +0000 2018,1.0,0.0,0.0,69
0.2023,Sun Apr 08 19:05:01 +0000 2018,0.87,0.0,0.13,70
-0.836,Sun Apr 08 18:45:37 +0000 2018,0.628,0.372,0.0,71
0.0,Sun Apr 08 18:25:01 +0000 2018,1.0,0.0,0.0,72
-0.7096,Sun Apr 08 18:05:01 +0000 2018,0.688,0.312,0.0,73
0.0,Sun Apr 08 17:45:01 +0000 2018,1.0,0.0,0.0,74
-0.6124,Sun Apr 08 17:25:01 +0000 2018,0.706,0.294,0.0,75
-0.2263,Sun Apr 08 17:05:01 +0000 2018,0.769,0.138,0.092,76
-0.3182,Sun Apr 08 16:45:39 +0000 2018,0.887,0.113,0.0,77
0.0,Sun Apr 08 16:25:04 +0000 2018,1.0,0.0,0.0,78
0.0,Sun Apr 08 16:05:38 +0000 2018,1.0,0.0,0.0,79
0.4404,Sun Apr 08 15:45:01 +0000 2018,0.868,0.0,0.132,80
0.2263,Sun Apr 08 21:45:29 +0000 2018,0.788,0.084,0.128,81
-0.3071,Sun Apr 08 21:31:01 +0000 2018,0.736,0.198,0.065,82
0.0,Sun Apr 08 21:25:37 +0000 2018,1.0,0.0,0.0,83
0.0,Sun Apr 08 21:05:57 +0000 2018,1.0,0.0,0.0,84
0.4939,Sun Apr 08 20:45:36 +0000 2018,0.856,0.0,0.144,85
0.0,Sun Apr 08 20:25:01 +0000 2018,1.0,0.0,0.0,86
0.3182,Sun Apr 08 20:08:02 +0000 2018,0.585,0.14,0.275,87
-0.836,Sun Apr 08 19:45:01 +0000 2018,0.473,0.527,0.0,88
0.0,Sun Apr 08 19:25:02 +0000 2018,1.0,0.0,0.0,89
0.2023,Sun Apr 08 19:05:01 +0000 2018,0.87,0.0,0.13,90
-0.836,Sun Apr 08 18:45:37 +0000 2018,0.628,0.372,0.0,91
0.0,Sun Apr 08 18:25:01 +0000 2018,1.0,0.0,0.0,92
-0.7096,Sun Apr 08 18:05:01 +0000 2018,0.688,0.312,0.0,93
0.0,Sun Apr 08 17:45:01 +0000 2018,1.0,0.0,0.0,94
-0.6124,Sun Apr 08 17:25:01 +0000 2018,0.706,0.294,0.0,95
-0.2263,Sun Apr 08 17:05:01 +0000 2018,0.769,0.138,0.092,96
-0.3182,Sun Apr 08 16:45:39 +0000 2018,0.887,0.113,0.0,97
0.0,Sun Apr 08 16:25:04 +0000 2018,1.0,0.0,0.0,98
0.0,Sun Apr 08 16:05:38 +0000 2018,1.0,0.0,0.0,99
0.4404,Sun Apr 08 15:45:01 +0000 2018,0.868,0.0,0.132,100
