Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.4019,Sun Apr 08 21:45:04 +0000 2018,0.803,0.197,0.0,1
0.6588,Sun Apr 08 21:30:04 +0000 2018,0.761,0.0,0.239,2
0.0,Sun Apr 08 21:15:07 +0000 2018,1.0,0.0,0.0,3
0.0,Sun Apr 08 21:00:07 +0000 2018,1.0,0.0,0.0,4
-0.6124,Sun Apr 08 20:45:06 +0000 2018,0.583,0.417,0.0,5
0.0258,Sun Apr 08 20:30:08 +0000 2018,0.667,0.164,0.17,6
0.0,Sun Apr 08 20:15:04 +0000 2018,1.0,0.0,0.0,7
0.0,Sun Apr 08 20:00:18 +0000 2018,1.0,0.0,0.0,8
0.7108,Sun Apr 08 19:45:18 +0000 2018,0.763,0.0,0.237,9
0.0,Sun Apr 08 19:30:06 +0000 2018,1.0,0.0,0.0,10
-0.8834,Sun Apr 08 19:15:07 +0000 2018,0.558,0.442,0.0,11
0.0,Sun Apr 08 19:00:10 +0000 2018,1.0,0.0,0.0,12
0.0,Sun Apr 08 18:45:03 +0000 2018,1.0,0.0,0.0,13
0.0,Sun Apr 08 18:30:05 +0000 2018,1.0,0.0,0.0,14
0.5574,Sun Apr 08 18:15:07 +0000 2018,0.706,0.071,0.224,15
0.0,Sun Apr 08 18:00:15 +0000 2018,1.0,0.0,0.0,16
-0.6249,Sun Apr 08 17:45:10 +0000 2018,0.611,0.389,0.0,17
-0.4767,Sun Apr 08 17:30:07 +0000 2018,0.785,0.215,0.0,18
-0.6597,Sun Apr 08 17:15:10 +0000 2018,0.732,0.268,0.0,19
-0.2263,Sun Apr 08 17:00:14 +0000 2018,0.888,0.112,0.0,20
-0.4019,Sun Apr 08 21:45:04 +0000 2018,0.803,0.197,0.0,21
0.6588,Sun Apr 08 21:30:04 +0000 2018,0.761,0.0,0.239,22
0.0,Sun Apr 08 21:15:07 +0000 2018,1.0,0.0,0.0,23
0.0,Sun Apr 08 21:00:07 +0000 2018,1.0,0.0,0.0,24
-0.6124,Sun Apr 08 20:45:06 +0000 2018,0.583,0.417,0.0,25
0.0258,Sun Apr 08 20:30:08 +0000 2018,0.667,0.164,0.17,26
0.0,Sun Apr 08 20:15:04 +0000 2018,1.0,0.0,0.0,27
0.0,Sun Apr 08 20:00:18 +0000 2018,1.0,0.0,0.0,28
0.7108,Sun Apr 08 19:45:18 +0000 2018,0.763,0.0,0.237,29
0.0,Sun Apr 08 19:30:06 +0000 2018,1.0,0.0,0.0,30
-0.8834,Sun Apr 08 19:15:07 +0000 2018,0.558,0.442,0.0,31
0.0,Sun Apr 08 19:00:10 +0000 2018,1.0,0.0,0.0,32
0.0,Sun Apr 08 18:45:03 +0000 2018,1.0,0.0,0.0,33
0.0,Sun Apr 08 18:30:05 +0000 2018,1.0,0.0,0.0,34
0.5574,Sun Apr 08 18:15:07 +0000 2018,0.706,0.071,0.224,35
0.0,Sun Apr 08 18:00:15 +0000 2018,1.0,0.0,0.0,36
-0.6249,Sun Apr 08 17:45:10 +0000 2018,0.611,0.389,0.0,37
-0.4767,Sun Apr 08 17:30:07 +0000 2018,0.785,0.215,0.0,38
-0.6597,Sun Apr 08 17:15:10 +0000 2018,0.732,0.268,0.0,39
-0.2263,Sun Apr 08 17:00:14 +0000 2018,0.888,0.112,0.0,40
-0.4019,Sun Apr 08 21:45:04 +0000 2018,0.803,0.197,0.0,41
0.6588,Sun Apr 08 21:30:04 +0000 2018,0.761,0.0,0.239,42
0.0,Sun Apr 08 21:15:07 +0000 2018,1.0,0.0,0.0,43
0.0,Sun Apr 08 21:00:07 +0000 2018,1.0,0.0,0.0,44
-0.6124,Sun Apr 08 20:45:06 +0000 2018,0.583,0.417,0.0,45
0.0258,Sun Apr 08 20:30:08 +0000 2018,0.667,0.164,0.17,46
0.0,Sun Apr 08 20:15:04 +0000 2018,1.0,0.0,0.0,47
0.0,Sun Apr 08 20:00:18 +0000 2018,1.0,0.0,0.0,48
0.7108,Sun Apr 08 19:45:18 +0000 2018,0.763,0.0,0.237,49
