Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sun Apr 08 21:44:06 +0000 2018,1.0,0.0,0.0,1
0.4588,Sun Apr 08 21:42:00 +0000 2018,0.842,0.0,0.158,2
0.3612,Sun Apr 08 21:31:03 +0000 2018,0.872,0.0,0.128,3
0.0,Sun Apr 08 21:30:00 +0000 2018,1.0,0.0,0.0,4
-0.9538,Sun Apr 08 21:27:28 +0000 2018,0.536,0.464,0.0,5
0.4939,Sun Apr 08 21:23:34 +0000 2018,0.873,0.0,0.127,6
0.0,Sun Apr 08 21:18:51 +0000 2018,1.0,0.0,0.0,7
-0.2023,Sun Apr 08 21:18:37 +0000 2018,0.878,0.122,0.0,8
0.0,Sun Apr 08 21:10:00 +0000 2018,1.0,0.0,0.0,9
0.4019,Sun Apr 08 20:57:00 +0000 2018,0.87,0.0,0.13,10
0.3612,Sun Apr 08 20:53:05 +0000 2018,0.878,0.0,0.122,11
-0.802,Sun Apr 08 20:52:06 +0000 2018,0.604,0.396,0.0,12
0.0,Sun Apr 08 20:45:31 +0000 2018,1.0,0.0,0.0,13
-0.3612,Sun Apr 08 20:40:00 +0000 2018,0.878,0.122,0.0,14
0.0,Sun Apr 08 20:39:00 +0000 2018,1.0,0.0,0.0,15
0.3612,Sun Apr 08 20:24:52 +0000 2018,0.848,0.0,0.152,16
0.0,Sun Apr 08 20:16:21 +0000 2018,1.0,0.0,0.0,17
-0.7964,Sun Apr 08 20:14:41 +0000 2018,0.664,0.336,0.0,18
0.0,Sun Apr 08 20:10:25 +0000 2018,1.0,0.0,0.0,19
0.5267,Sun Apr 08 20:03:00 +0000 2018,0.841,0.0,0.159,20
0.0,Sun Apr 08 21:44:06 +0000 2018,1.0,0.0,0.0,21
0.4588,Sun Apr 08 21:42:00 +0000 2018,0.842,0.0,0.158,22
0.3612,Sun Apr 08 21:31:03 +0000 2018,0.872,0.0,0.128,23
0.0,Sun Apr 08 21:30:00 +0000 2018,1.0,0.0,0.0,24
-0.9538,Sun Apr 08 21:27:28 +0000 2018,0.536,0.464,0.0,25
0.4939,Sun Apr 08 21:23:34 +0000 2018,0.873,0.0,0.127,26
0.0,Sun Apr 08 21:18:51 +0000 2018,1.0,0.0,0.0,27
-0.2023,Sun Apr 08 21:18:37 +0000 2018,0.878,0.122,0.0,28
0.0,Sun Apr 08 21:10:00 +0000 2018,1.0,0.0,0.0,29
0.4019,Sun Apr 08 20:57:00 +0000 2018,0.87,0.0,0.13,30
0.3612,Sun Apr 08 20:53:05 +0000 2018,0.878,0.0,0.122,31
-0.802,Sun Apr 08 20:52:06 +0000 2018,0.604,0.396,0.0,32
