Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.1779,Sun Apr 08 21:42:00 +0000 2018,0.637,0.195,0.167,1
0.0,Sun Apr 08 21:27:06 +0000 2018,1.0,0.0,0.0,2
-0.1531,Sun Apr 08 21:19:46 +0000 2018,0.659,0.187,0.154,3
0.3612,Sun Apr 08 21:12:07 +0000 2018,0.753,0.079,0.168,4
-0.7717,Sun Apr 08 21:11:54 +0000 2018,0.573,0.427,0.0,5
0.0,Sun Apr 08 20:57:02 +0000 2018,1.0,0.0,0.0,6
-0.2023,Sun Apr 08 20:42:07 +0000 2018,0.802,0.118,0.08,7
0.34,Sun Apr 08 20:27:01 +0000 2018,0.893,0.0,0.107,8
0.2732,Sun Apr 08 20:11:02 +0000 2018,0.826,0.0,0.174,9
0.5256,Sun Apr 08 19:56:07 +0000 2018,0.825,0.0,0.175,10
0.0,Sun Apr 08 19:41:05 +0000 2018,1.0,0.0,0.0,11
0.4069,Sun Apr 08 19:26:01 +0000 2018,0.732,0.121,0.146,12
-0.2023,Sun Apr 08 19:11:32 +0000 2018,0.808,0.112,0.081,13
0.2732,Sun Apr 08 19:02:05 +0000 2018,0.9,0.0,0.1,14
-0.0516,Sun Apr 08 18:47:01 +0000 2018,0.787,0.112,0.101,15
0.4404,Sun Apr 08 18:29:07 +0000 2018,0.868,0.0,0.132,16
0.7535,Sun Apr 08 18:27:01 +0000 2018,0.756,0.0,0.244,17
-0.7717,Sun Apr 08 18:12:02 +0000 2018,0.712,0.288,0.0,18
-0.7096,Sun Apr 08 17:57:07 +0000 2018,0.731,0.269,0.0,19
0.0772,Sun Apr 08 17:42:06 +0000 2018,0.837,0.074,0.089,20
-0.1779,Sun Apr 08 21:42:00 +0000 2018,0.637,0.195,0.167,21
0.0,Sun Apr 08 21:27:06 +0000 2018,1.0,0.0,0.0,22
-0.1531,Sun Apr 08 21:19:46 +0000 2018,0.659,0.187,0.154,23
0.3612,Sun Apr 08 21:12:07 +0000 2018,0.753,0.079,0.168,24
-0.7717,Sun Apr 08 21:11:54 +0000 2018,0.573,0.427,0.0,25
0.0,Sun Apr 08 20:57:02 +0000 2018,1.0,0.0,0.0,26
-0.2023,Sun Apr 08 20:42:07 +0000 2018,0.802,0.118,0.08,27
0.34,Sun Apr 08 20:27:01 +0000 2018,0.893,0.0,0.107,28
0.2732,Sun Apr 08 20:11:02 +0000 2018,0.826,0.0,0.174,29
0.5256,Sun Apr 08 19:56:07 +0000 2018,0.825,0.0,0.175,30
0.0,Sun Apr 08 19:41:05 +0000 2018,1.0,0.0,0.0,31
0.4069,Sun Apr 08 19:26:01 +0000 2018,0.732,0.121,0.146,32
-0.2023,Sun Apr 08 19:11:32 +0000 2018,0.808,0.112,0.081,33
0.2732,Sun Apr 08 19:02:05 +0000 2018,0.9,0.0,0.1,34
-0.0516,Sun Apr 08 18:47:01 +0000 2018,0.787,0.112,0.101,35
0.4404,Sun Apr 08 18:29:07 +0000 2018,0.868,0.0,0.132,36
0.7535,Sun Apr 08 18:27:01 +0000 2018,0.756,0.0,0.244,37
-0.7717,Sun Apr 08 18:12:02 +0000 2018,0.712,0.288,0.0,38
-0.7096,Sun Apr 08 17:57:07 +0000 2018,0.731,0.269,0.0,39
0.0772,Sun Apr 08 17:42:06 +0000 2018,0.837,0.074,0.089,40
-0.1779,Sun Apr 08 21:42:00 +0000 2018,0.637,0.195,0.167,41
0.0,Sun Apr 08 21:27:06 +0000 2018,1.0,0.0,0.0,42
-0.1531,Sun Apr 08 21:19:46 +0000 2018,0.659,0.187,0.154,43
0.3612,Sun Apr 08 21:12:07 +0000 2018,0.753,0.079,0.168,44
-0.7717,Sun Apr 08 21:11:54 +0000 2018,0.573,0.427,0.0,45
0.0,Sun Apr 08 20:57:02 +0000 2018,1.0,0.0,0.0,46
-0.2023,Sun Apr 08 20:42:07 +0000 2018,0.802,0.118,0.08,47
0.34,Sun Apr 08 20:27:01 +0000 2018,0.893,0.0,0.107,48
0.2732,Sun Apr 08 20:11:02 +0000 2018,0.826,0.0,0.174,49
0.5256,Sun Apr 08 19:56:07 +0000 2018,0.825,0.0,0.175,50
0.0,Sun Apr 08 19:41:05 +0000 2018,1.0,0.0,0.0,51
0.4069,Sun Apr 08 19:26:01 +0000 2018,0.732,0.121,0.146,52
-0.2023,Sun Apr 08 19:11:32 +0000 2018,0.808,0.112,0.081,53
0.2732,Sun Apr 08 19:02:05 +0000 2018,0.9,0.0,0.1,54
-0.0516,Sun Apr 08 18:47:01 +0000 2018,0.787,0.112,0.101,55
0.4404,Sun Apr 08 18:29:07 +0000 2018,0.868,0.0,0.132,56
0.7535,Sun Apr 08 18:27:01 +0000 2018,0.756,0.0,0.244,57
-0.7717,Sun Apr 08 18:12:02 +0000 2018,0.712,0.288,0.0,58
-0.7096,Sun Apr 08 17:57:07 +0000 2018,0.731,0.269,0.0,59
0.0772,Sun Apr 08 17:42:06 +0000 2018,0.837,0.074,0.089,60
-0.1779,Sun Apr 08 21:42:00 +0000 2018,0.637,0.195,0.167,61
0.0,Sun Apr 08 21:27:06 +0000 2018,1.0,0.0,0.0,62
-0.1531,Sun Apr 08 21:19:46 +0000 2018,0.659,0.187,0.154,63
0.3612,Sun Apr 08 21:12:07 +0000 2018,0.753,0.079,0.168,64
-0.7717,Sun Apr 08 21:11:54 +0000 2018,0.573,0.427,0.0,65
0.0,Sun Apr 08 20:57:02 +0000 2018,1.0,0.0,0.0,66
-0.2023,Sun Apr 08 20:42:07 +0000 2018,0.802,0.118,0.08,67
0.34,Sun Apr 08 20:27:01 +0000 2018,0.893,0.0,0.107,68
0.2732,Sun Apr 08 20:11:02 +0000 2018,0.826,0.0,0.174,69
0.5256,Sun Apr 08 19:56:07 +0000 2018,0.825,0.0,0.175,70
0.0,Sun Apr 08 19:41:05 +0000 2018,1.0,0.0,0.0,71
0.4069,Sun Apr 08 19:26:01 +0000 2018,0.732,0.121,0.146,72
-0.2023,Sun Apr 08 19:11:32 +0000 2018,0.808,0.112,0.081,73
0.2732,Sun Apr 08 19:02:05 +0000 2018,0.9,0.0,0.1,74
-0.0516,Sun Apr 08 18:47:01 +0000 2018,0.787,0.112,0.101,75
0.4404,Sun Apr 08 18:29:07 +0000 2018,0.868,0.0,0.132,76
0.7535,Sun Apr 08 18:27:01 +0000 2018,0.756,0.0,0.244,77
-0.7717,Sun Apr 08 18:12:02 +0000 2018,0.712,0.288,0.0,78
-0.7096,Sun Apr 08 17:57:07 +0000 2018,0.731,0.269,0.0,79
0.0772,Sun Apr 08 17:42:06 +0000 2018,0.837,0.074,0.089,80
-0.1779,Sun Apr 08 21:42:00 +0000 2018,0.637,0.195,0.167,81
0.0,Sun Apr 08 21:27:06 +0000 2018,1.0,0.0,0.0,82
-0.1531,Sun Apr 08 21:19:46 +0000 2018,0.659,0.187,0.154,83
0.3612,Sun Apr 08 21:12:07 +0000 2018,0.753,0.079,0.168,84
-0.7717,Sun Apr 08 21:11:54 +0000 2018,0.573,0.427,0.0,85
0.0,Sun Apr 08 20:57:02 +0000 2018,1.0,0.0,0.0,86
-0.2023,Sun Apr 08 20:42:07 +0000 2018,0.802,0.118,0.08,87
